species.id,species.commonName,year,number,numberPerHour,numberPerHourMean,hours,reportingCounts,reportingObservers,totalCounts,totalObservers
rebnut,Red-breasted Nuthatch,5,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,10,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,11,0,0.0,0.0,0.0,0,0,4,5
rebnut,Red-breasted Nuthatch,12,0,0.0,0.0,0.0,0,0,4,4
rebnut,Red-breasted Nuthatch,13,8,0.0,0.0,0.0,2,3,3,4
rebnut,Red-breasted Nuthatch,14,2,0.0,0.0,0.0,1,1,2,2
rebnut,Red-breasted Nuthatch,15,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,16,0,0.0,0.0,0.0,0,0,2,4
rebnut,Red-breasted Nuthatch,17,52,0.0,0.0,0.0,2,6,3,7
rebnut,Red-breasted Nuthatch,18,0,0.0,0.0,0.0,0,0,1,2
rebnut,Red-breasted Nuthatch,19,10,0.0,0.0,0.0,1,3,1,3
rebnut,Red-breasted Nuthatch,20,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,21,0,0.0,0.0,0.0,0,0,2,4
rebnut,Red-breasted Nuthatch,22,0,0.0,0.0,17.2,0,0,3,4
rebnut,Red-breasted Nuthatch,23,0,0.0,0.0,0.0,0,0,5,6
rebnut,Red-breasted Nuthatch,24,1,0.0,0.0,0.0,1,3,5,9
rebnut,Red-breasted Nuthatch,25,0,0.0,0.0,0.0,0,0,3,6
rebnut,Red-breasted Nuthatch,26,0,0.0,0.0,0.0,0,0,4,8
rebnut,Red-breasted Nuthatch,27,0,0.0,0.0,0.0,0,0,4,7
rebnut,Red-breasted Nuthatch,28,0,0.0,0.0,0.0,0,0,5,8
rebnut,Red-breasted Nuthatch,29,0,0.0,0.0,0.0,0,0,4,7
rebnut,Red-breasted Nuthatch,30,6,0.0,0.0,0.0,1,3,3,6
rebnut,Red-breasted Nuthatch,31,0,0.0,0.0,0.0,0,0,2,7
rebnut,Red-breasted Nuthatch,32,8,0.0,0.0,0.0,2,2,4,4
rebnut,Red-breasted Nuthatch,33,0,0.0,0.0,0.0,0,0,5,9
rebnut,Red-breasted Nuthatch,34,14,0.0,0.0,0.0,2,7,5,15
rebnut,Red-breasted Nuthatch,35,0,0.0,0.0,0.0,0,0,6,14
rebnut,Red-breasted Nuthatch,36,8,0.0,0.0,0.0,2,3,6,15
rebnut,Red-breasted Nuthatch,37,6,0.0,0.0,0.0,1,1,4,9
rebnut,Red-breasted Nuthatch,38,13,0.0,0.0,0.0,3,8,4,12
rebnut,Red-breasted Nuthatch,39,0,0.0,0.0,0.0,0,0,4,14
rebnut,Red-breasted Nuthatch,40,28,0.3534798534798535,0.3479057151187604,23.5,4,23,9,36
rebnut,Red-breasted Nuthatch,41,16,0.24032176973353445,0.23730354413612872,67.3,3,20,9,33
rebnut,Red-breasted Nuthatch,42,49,0.3065171461075898,0.2762663474971097,60.8,4,17,8,28
rebnut,Red-breasted Nuthatch,43,10,0.16666666666666666,0.14471424255333187,19.0,2,8,7,21
rebnut,Red-breasted Nuthatch,44,59,0.6638888888888889,0.4612020274096324,59.0,3,10,9,28
rebnut,Red-breasted Nuthatch,45,0,0.0,0.0,67.8,0,0,8,40
rebnut,Red-breasted Nuthatch,46,20,0.1951219512195122,0.1458828839838071,62.5,1,4,6,22
rebnut,Red-breasted Nuthatch,47,59,0.24691358024691357,0.19990874479734091,189.0,5,13,11,45
rebnut,Red-breasted Nuthatch,48,16,0.049052028218694886,0.044378079388123735,114.5,3,11,14,52
rebnut,Red-breasted Nuthatch,49,19,0.07773665935672515,0.07319757823473605,133.5,7,25,14,56
rebnut,Red-breasted Nuthatch,50,54,0.14379527575399048,0.13318926163607547,161.0,10,41,13,67
rebnut,Red-breasted Nuthatch,51,4,0.022556390977443608,0.02054837691916902,208.6,2,4,13,74
rebnut,Red-breasted Nuthatch,52,66,0.30117537372786896,0.2684930859807381,239.8,11,46,13,55
rebnut,Red-breasted Nuthatch,53,41,0.14500266393005273,0.09129905470163835,322.6,4,37,15,91
rebnut,Red-breasted Nuthatch,54,114,0.29013670464722374,0.13244643160863317,507.0,6,61,19,115
rebnut,Red-breasted Nuthatch,55,99,0.1376328902644692,0.12601063007914398,667.0,11,92,19,146
rebnut,Red-breasted Nuthatch,56,66,0.14410998781242698,0.11856175948954514,592.1,9,64,19,122
rebnut,Red-breasted Nuthatch,57,2,0.00625,0.005974663766637606,508.3,1,2,16,106
rebnut,Red-breasted Nuthatch,58,110,0.26036235164006194,0.20874536022443105,657.8,13,90,20,160
rebnut,Red-breasted Nuthatch,59,3,0.0057672917927001415,0.0056212815906370355,541.5,3,27,16,151
rebnut,Red-breasted Nuthatch,60,37,0.09062507886408794,0.07961676722509317,690.0,9,113,19,192
rebnut,Red-breasted Nuthatch,61,2,0.007017543859649123,0.006764884558443487,699.0,2,7,19,189
rebnut,Red-breasted Nuthatch,62,177,0.1911769862206153,0.17242381535545243,654.5,14,153,20,190
rebnut,Red-breasted Nuthatch,63,2,0.002540482485128883,0.002513205160702275,659.0,2,36,16,179
rebnut,Red-breasted Nuthatch,64,295,0.31778522648338786,0.2749696384383122,705.0,13,147,16,173
rebnut,Red-breasted Nuthatch,65,12,0.011955598773745057,0.01175932773214181,842.0,6,113,18,227
rebnut,Red-breasted Nuthatch,66,205,0.23657309227267945,0.19823267731332114,900.0,14,169,21,239
rebnut,Red-breasted Nuthatch,67,41,0.03477128251277477,0.033432309278037746,1059.0,10,178,22,283
rebnut,Red-breasted Nuthatch,68,5,0.0024555226995322072,0.002435298569711066,1001.0,3,70,22,272
rebnut,Red-breasted Nuthatch,69,164,0.1764257659735078,0.14240392233247814,1012.0,15,225,24,278
rebnut,Red-breasted Nuthatch,70,307,0.2954415409588512,0.2300610236165119,1097.0,20,308,23,319
rebnut,Red-breasted Nuthatch,71,39,0.022841367316985012,0.021958881192892254,1417.0,11,244,26,419
rebnut,Red-breasted Nuthatch,72,112,0.06037680880090722,0.05521539559327158,1656.0,18,350,29,502
rebnut,Red-breasted Nuthatch,73,148,0.06206709219482682,0.05912071045377211,1639.5,20,447,28,516
rebnut,Red-breasted Nuthatch,74,71,0.03792553499530168,0.036274972332261984,1969.0,17,393,29,547
rebnut,Red-breasted Nuthatch,75,150,0.07761002061744571,0.07361097032420395,2398.0,23,587,29,718
rebnut,Red-breasted Nuthatch,76,1135,0.34419833827392965,0.2950262753776532,2887.5,32,831,32,831
rebnut,Red-breasted Nuthatch,77,268,0.1002208581590395,0.09472271758193808,2684.8,27,733,29,788
rebnut,Red-breasted Nuthatch,78,985,0.2981684120182532,0.2506463434962234,3057.4,33,866,34,904
rebnut,Red-breasted Nuthatch,79,223,0.06742923119685601,0.06453614510608628,3268.7,29,848,34,935
rebnut,Red-breasted Nuthatch,80,77,0.03245823690312815,0.030957819930015135,3305.3,22,640,34,979
rebnut,Red-breasted Nuthatch,81,512,0.14979684261783935,0.13975520698400964,3234.4,29,754,36,906
rebnut,Red-breasted Nuthatch,82,1517,0.43389130656551617,0.3465873757038982,3076.1,37,919,37,919
rebnut,Red-breasted Nuthatch,83,116,0.058119750946409275,0.05167362518251831,3072.9,27,684,37,912
rebnut,Red-breasted Nuthatch,84,574,0.17297815892138024,0.16442823309822277,3055.3,36,857,37,886
rebnut,Red-breasted Nuthatch,85,20,0.010153220095967759,0.009896612320501371,3047.2,14,399,37,887
rebnut,Red-breasted Nuthatch,86,285,0.10473353081700307,0.1012149488619213,3103.2,32,815,36,971
rebnut,Red-breasted Nuthatch,87,696,0.2599619106302027,0.2189872366709189,3144.4,30,781,36,918
rebnut,Red-breasted Nuthatch,88,178,0.0591908896633777,0.05677347334884001,3434.6,29,739,38,902
rebnut,Red-breasted Nuthatch,89,57,0.023395409217724376,0.022666725599870277,3234.8,24,639,38,931
rebnut,Red-breasted Nuthatch,90,291,0.10334097631705806,0.09536923319245526,3183.7,33,800,38,865
rebnut,Red-breasted Nuthatch,91,113,0.035151503279731384,0.034283374026536556,3260.5,27,680,40,900
rebnut,Red-breasted Nuthatch,92,133,0.0562178456355758,0.053360297919431046,3242.0,24,576,38,870
rebnut,Red-breasted Nuthatch,93,64,0.019663210547298728,0.019205061371097763,3412.0,20,560,41,905
rebnut,Red-breasted Nuthatch,94,388,0.12002695317283894,0.11405123767736813,3240.75,37,853,43,915
rebnut,Red-breasted Nuthatch,95,45,0.01612212773289546,0.015590714311943334,3398.25,18,494,42,956
rebnut,Red-breasted Nuthatch,96,390,0.16114490901340514,0.1492526046429362,2995.6,34,794,37,846
rebnut,Red-breasted Nuthatch,97,45,0.02098524345441377,0.02005647963395045,3087.0,17,572,39,999
rebnut,Red-breasted Nuthatch,98,197,0.07746590525128527,0.07421123158937272,3127.0,33,929,38,1037
rebnut,Red-breasted Nuthatch,99,33,0.027450907579011568,0.022199077453989396,3037.8,12,389,38,943
rebnut,Red-breasted Nuthatch,100,386,0.12911354684017798,0.1191281953704238,3530.25,36,1091,39,1115
rebnut,Red-breasted Nuthatch,101,35,0.008638072588329106,0.008504298277946248,3314.98,15,661,41,1143
rebnut,Red-breasted Nuthatch,102,254,0.06993388599661865,0.06718304311478723,3750.75,32,1098,40,1255
rebnut,Red-breasted Nuthatch,103,19,0.00686742473091331,0.006739611395274111,3371.13,10,388,38,1204
rebnut,Red-breasted Nuthatch,104,70,0.031469878894040834,0.026317988073960488,3150.25,17,701,37,1143
rebnut,Red-breasted Nuthatch,105,189,0.07100021794226254,0.06513289429648329,3292.75,26,830,37,1103
rebnut,Red-breasted Nuthatch,106,229,0.056229034819409246,0.05340060702783528,3211.0,28,906,38,1107
rebnut,Red-breasted Nuthatch,107,41,0.012598074242279331,0.012367669161754248,3287.5,17,538,39,1151
rebnut,Red-breasted Nuthatch,108,427,0.14497264302136614,0.13574373941419762,3396.5,37,1181,41,1237
rebnut,Red-breasted Nuthatch,109,95,0.09448381715019043,0.04748907413679786,3898.25,18,806,44,1518
rebnut,Red-breasted Nuthatch,110,42,0.019567917570742863,0.018588961470372003,2896.5,18,650,40,1057